"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"IMF.FAD:FM(2.0.0)","ABW.GGR_G01_GDP_PT.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Revenue, General government, Percent of GDP","Annual","Units","","","","","","25.11417004","22.8869002","21.68753381","22.88395257","22.25050121","21.67299327","21.49113014","27.03180685","20.71361474","21.5199238","22.28546806","21.57394248","26.82534766","24.25665114","26.95667273","20.77035551","21.80626729","23.40640745","22.37559655","23.89797907","23.6640738","21.9712947","22.22173071","23.44526053","24.00654531","19.69802723","21.21373378","23.53580116","23.19201248","23.19201248","23.19201248","23.19201248","23.19201248","23.19201248"
"IMF.FAD:FM(2.0.0)","ABW.GGXCNL_G01_GDP_PT.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","-2.343489879","-2.102130422","0.113932757","0.0856","0.644936007","-0.835328183","-3.168731839","1.896116711","-8.530897958","-2.957016451","-2.541460392","-1.045858066","1.465952186","-2.631133597","-3.486737704","-6.42893376","-8.954924813","-6.047696315","-7.458532182","-1.475284467","-1.454978096","-2.587020743","-2.641025534","-0.242567843","-16.23021576","-9.160815472","-0.46503382","1.555241654","1.155894076","1.312379113","1.288867217","1.351446827","1.393449412","1.434987847"
"IMF.FAD:FM(2.0.0)","ABW.GGXONLB_G01_GDP_PT.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Primary net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","-1.099765182","-0.850571443","1.446984261","1.538343316","1.884842015","0.553913384","-1.757164792","3.143192383","-6.403720727","-0.958688156","-0.338638304","1.184928076","4.210236128","-0.084","-0.597495214","-3.518235232","-5.737816806","-2.678762878","-3.7032433","2.301173051","2.625295041","1.438362423","1.131737737","3.536704442","-11.11233641","-4.790885175","3.40100818","5.280158935","5.651800367","5.241539294","5.038415354","4.920747751","4.79128475","4.667004576"
"IMF.FAD:FM(2.0.0)","ABW.G_XWDG_G01_GDP_PT.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross debt, Percent of GDP","Annual","Units","","","","","","54.77081215","51.06842421","41.03857962","39.28814628","38.61331617","44.32561325","47.07865028","40.8481105","42.543007","45.09308087","45.5183809","44.55785659","40.30982132","48.78481409","54.66234709","59.34671083","65.53305552","70.03191094","77.70914704","74.17684647","75.38742013","75.82506166","73.30963867","71.0525069","112.3387649","101.8157274","90.11133242","79.77550078","76.21197206","73.05987016","69.79892952","66.51043559","63.27414778","60.08911069"
"IMF.FAD:FM(2.0.0)","ABW.G_X_G01_GDP_PT.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Expenditure, Percent of GDP","Annual","Units","","","","","","27.45765992","24.98903063","21.57360105","22.79835764","21.6055652","22.50832146","24.65986198","25.13569014","29.2445127","24.47694025","24.82692845","22.61980055","25.35939547","26.88778474","30.44341043","27.19928927","30.76119211","29.45410376","29.83412873","25.37326354","25.1190519","24.55831544","24.86275624","23.68782837","40.23676107","28.85884271","21.6787676","21.9805595","22.03611841","21.87963337","21.90314527","21.84056566","21.79856307","21.75702464"
"IMF.FAD:FM(2.0.0)","AFG.GGR_G01_GDP_PT.A","OBS_VALUE","Afghanistan, Islamic Republic of","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","9.825829101","12.67587504","14.73347691","18.94591166","18.98579113","17.03577894","19.39054437","21.72248842","21.26482388","25.21026166","24.3460299","23.68365248","24.56904148","28.1562331","27.05872456","30.56983055","26.94093852","25.69422151","17.44894564","15.11824809","","","","","","",""
"IMF.FAD:FM(2.0.0)","AFG.GGXCNL_G01_GDP_PT.A","OBS_VALUE","Afghanistan, Islamic Republic of","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","","","","","","","-2.101669236","-2.392838255","-0.917107415","0.683695765","-2.461719388","-3.863593792","-1.76059209","0.933343625","-0.671821698","0.182057052","-0.63094557","-1.718796808","-1.377700329","0.127257984","-0.673105906","1.63419574","-1.058081118","-2.242799393","-0.484939136","-0.997336433","","","","","","",""
"IMF.FAD:FM(2.0.0)","AFG.GGXONLB_G01_GDP_PT.A","OBS_VALUE","Afghanistan, Islamic Republic of","Primary net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","0.72409082","-2.431238606","-3.845213653","-1.742086105","0.944992239","-0.573310753","0.257318292","-0.54394839","-1.685042914","-1.326492262","0.192185052","-0.604199148","1.693596799","-1.018742866","-2.205830286","-0.462453126","-0.988912068","","","","","","",""
"IMF.FAD:FM(2.0.0)","AFG.G_XWDG_G01_GDP_PT.A","OBS_VALUE","Afghanistan, Islamic Republic of","Gross debt, Percent of GDP","Annual","Units","","","","","","","","","","","","","270.6023637","244.9666907","206.3560065","22.9846435","20.13663136","19.05707572","16.24726137","7.69694932","7.501084371","6.759467879","6.904479171","8.70029105","9.154082857","8.437266097","7.997660199","7.384412942","6.349830024","7.797234512","11.51339984","10.92476607","","","","","","",""
"IMF.FAD:FM(2.0.0)","AFG.G_X_G01_GDP_PT.A","OBS_VALUE","Afghanistan, Islamic Republic of","Expenditure, Percent of GDP","Annual","Units","","","","","","","","","","","","","11.92749834","15.0687133","15.65058432","18.26221589","21.44751051","20.89937274","21.15113647","20.78914479","21.93664558","25.02820461","24.97697547","25.40244928","25.94674181","28.02897512","27.73183047","28.93563481","27.99901963","27.93702091","17.93388478","16.11558452","","","","","","",""
